internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
22679393,Polyplectron schleiermacheri,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Polyplectron,schleiermacheri,,,,,"Brüggemann, 1877",
22679487,Tetrao urogallus,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Tetrao,urogallus,,,,,"Linnaeus, 1758",
22679856,Cygnus cygnus,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Cygnus,cygnus,,,,,"(Linnaeus, 1758)",
22679872,Anser brachyrhynchus,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anser,brachyrhynchus,,,,,"Baillon, 1834",
22679881,Anser albifrons,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anser,albifrons,,,,,"(Scopoli, 1769)",
22680465,Mergellus albellus,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Mergellus,albellus,,,,,"(Linnaeus, 1758)",
22680003,Tadorna ferruginea,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Tadorna,ferruginea,,,,,"(Pallas, 1764)",
22680313,Spatula querquedula,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Spatula,querquedula,,,,,"(Linnaeus, 1758)",<em>Spatula querquedula</em>&#160;(del Hoyo and Collar 2014)&#160;was previously placed in the genus <em>Anas</em>.
22690117,Columba bollii,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Columba,bollii,,,,,"Godman, 1872",
22692543,Crex crex,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Crex,crex,,,,,"(Linnaeus, 1758)",
22692676,Porzana porzana,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Porzana,porzana,,,,,"(Linnaeus, 1766)",
22692663,Zapornia parva,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Zapornia,parva,,,,,"(Scopoli, 1769)",<em>Zapornia parva</em>&#160;(del Hoyo and Collar 2014)&#160;was previously placed in the genus <em>Porzana</em>.
22692146,Grus grus,ANIMALIA,CHORDATA,AVES,GRUIFORMES,GRUIDAE,Grus,grus,,,,,"(Linnaeus, 1758)","Hybrids with <em>G. monacha </em>recorded on migration in NE China (Williams <em>et al.&#160;</em>1992). New subspecies <em>archibaldi </em>appears to be distinctive owing to absence of red on hindcrown, but other characters remain to be determined; not yet accepted by some authorities (Dickinson &amp; Remsen 2013). E form <em>lilfordi</em> (Turkey to EC Asia; wintering NE Africa E to S China) sometimes recognized, but here regarded as probably undiagnosable, differences from nominate believed to be based on plumage colour variations due in part to differences in feather-painting behaviour. Two subspecies recognized."
22693727,Pluvialis apricaria,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,CHARADRIIDAE,Pluvialis,apricaria,,,,,"(Linnaeus, 1758)",
22693906,Eudromias morinellus,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,CHARADRIIDAE,Eudromias,morinellus,,,,,"(Linnaeus, 1758)",
22693178,Numenius phaeopus,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Numenius,phaeopus,,,,,"(Linnaeus, 1758)",
22693468,Calidris pugnax,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Calidris,pugnax,,,,,"(Linnaeus, 1758)",<em>Calidris pugnax</em> (del Hoyo and Collar 2014) was previously placed in the genus <em>Philomachus</em>.
22693369,Calidris alba,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Calidris,alba,,,,,"(Pallas, 1764)",
22693085,Gallinago stenura,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Gallinago,stenura,,,,,"(Bonaparte, 1830)",
22693133,Lymnocryptes minimus,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Lymnocryptes,minimus,,,,,"(Brünnich, 1764)",
22693264,Actitis hypoleucos,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Actitis,hypoleucos,,,,,"Linnaeus, 1758",
22693243,Tringa ochropus,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Tringa,ochropus,,,,,"Linnaeus, 1758",
22693207,Tringa erythropus,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Tringa,erythropus,,,,,"(Pallas, 1764)",
22693220,Tringa nebularia,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Tringa,nebularia,,,,,"(Gunnerus, 1767)",
22693247,Tringa glareola,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Tringa,glareola,,,,,"Linnaeus, 1758",
22693216,Tringa stagnatilis,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Tringa,stagnatilis,,,,,"(Bechstein, 1803)",
22705038,Lanius minor,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,LANIIDAE,Lanius,minor,,,,,"Gmelin, 1788",
22735990,Parus major,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PARIDAE,Parus,major,,,,,"Linnaeus, 1758",
22715255,Phylloscopus bonelli,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PHYLLOSCOPIDAE,Phylloscopus,bonelli,,,,,"(Vieillot, 1819)","<p><em>Phylloscopus bonelli </em>and<em> P. orientalis </em>(del Hoyo and Collar 2016) were previously lumped as <em>P. bonelli</em> following Cramp et al. (1977-1994), Dowsett &amp; Forbes-Watson (1993) and Sibley &amp; Monroe (1990, 1993).</p>  <p>&#160;</p>"
103845882,Phylloscopus borealis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PHYLLOSCOPIDAE,Phylloscopus,borealis,,,,,"(Blasius, 1858)","<p><em>Phylloscopus borealis, P. examinandus </em>and<em> P. xanthodryas</em> (del Hoyo and Collar 2016) were previously lumped as <em>P. borealis </em>following AERC TAC (2003), AOU (1998 &amp; supplements), Christidis and Boles (2008), Cramp <em>et al</em>. (1977–1994), Sibley and Monroe (1990, 1993) and Stotz <em>et al</em>. (1996).</p>  <p>&#160;</p>"
103888106,Turdus merula,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,merula,,,,,"Linnaeus, 1758","<p><em>Turdus merula, T. simillimus, T. maximus </em>and<em> T. mandarinus </em>(del Hoyo and Collar 2016) were previously lumped as <em>T. merula</em> following AERC TAC (2003), AOU (1998 and supplements), Christidis and Boles (2008), Cramp <em>et al</em>. (1977–1994), Sibley and Monroe (1990, 1993), and Turbott (1990).</p>  <p>&#160;</p>"
22720641,Loxia scotica,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FRINGILLIDAE,Loxia,scotica,,,,,"Hartert, 1904",
22721043,Plectrophenax nivalis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CALCARIIDAE,Plectrophenax,nivalis,,,,,"(Linnaeus, 1758)",
22718630,Prunella montanella,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PRUNELLIDAE,Prunella,montanella,,,,,"(Pallas, 1776)",
22679460,Lagopus lagopus,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Lagopus,lagopus,,,,,"(Linnaeus, 1758)",
22720960,Emberiza rustica,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,EMBERIZIDAE,Emberiza,rustica,,,,,"Pallas, 1776",
22679862,Cygnus columbianus,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Cygnus,columbianus,,,,,"(Ord, 1815)",
22692907,Fulica cristata,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Fulica,cristata,,,,,"Gmelin, 1789",
22717301,Melanocorypha yeltoniensis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ALAUDIDAE,Melanocorypha,yeltoniensis,,,,,"(Forster, 1767)",
22728245,Chlamydotis undulata,ANIMALIA,CHORDATA,AVES,OTIDIFORMES,OTIDIDAE,Chlamydotis,undulata,,,,,"(Jacquin, 1784)","<p><em>Chlamydotis undulata </em>and<em> C. macqueenii </em>(del Hoyo and Collar 2014) were previously lumped as <em>C. undulata </em>following Sibley and Monroe (1990, 1993).<em> &#160;</em></p>"
22678073,Rhea americana,ANIMALIA,CHORDATA,AVES,STRUTHIONIFORMES,RHEIDAE,Rhea,americana,,,,,"(Linnaeus, 1758)",
22678111,Casuarius bennetti,ANIMALIA,CHORDATA,AVES,STRUTHIONIFORMES,CASUARIIDAE,Casuarius,bennetti,,,,,"Gould, 1857",
22678129,Apteryx owenii,ANIMALIA,CHORDATA,AVES,STRUTHIONIFORMES,APTERYGIDAE,Apteryx,owenii,,,,,"Gould, 1847",
22678132,Apteryx haastii,ANIMALIA,CHORDATA,AVES,STRUTHIONIFORMES,APTERYGIDAE,Apteryx,haastii,,,,,"Potts, 1872",
22678172,Crypturellus ptaritepui,ANIMALIA,CHORDATA,AVES,STRUTHIONIFORMES,TINAMIDAE,Crypturellus,ptaritepui,,,,,"Zimmer & Phelps, 1945",
22678194,Crypturellus kerriae,ANIMALIA,CHORDATA,AVES,STRUTHIONIFORMES,TINAMIDAE,Crypturellus,kerriae,,,,,"(Chapman, 1915)",
22678217,Crypturellus noctivagus,ANIMALIA,CHORDATA,AVES,STRUTHIONIFORMES,TINAMIDAE,Crypturellus,noctivagus,,,,,"(Wied, 1820)",
22678348,Ortalis superciliaris,ANIMALIA,CHORDATA,AVES,GALLIFORMES,CRACIDAE,Ortalis,superciliaris,,,,,"Gray, 1867",
22678398,Penelope jacucaca,ANIMALIA,CHORDATA,AVES,GALLIFORMES,CRACIDAE,Penelope,jacucaca,,,,,"Spix, 1825",
22678440,Aburria aburri,ANIMALIA,CHORDATA,AVES,GALLIFORMES,CRACIDAE,Aburria,aburri,,,,,"(Lesson, 1828)",
22678464,Mitu tomentosum,ANIMALIA,CHORDATA,AVES,GALLIFORMES,CRACIDAE,Mitu,tomentosum,,,,,"(Spix, 1825)",
22678497,Pauxi pauxi,ANIMALIA,CHORDATA,AVES,GALLIFORMES,CRACIDAE,Pauxi,pauxi,,,,,"(Linnaeus, 1766)",
22678537,Crax globulosa,ANIMALIA,CHORDATA,AVES,GALLIFORMES,CRACIDAE,Crax,globulosa,,,,,"Spix, 1825",
22678544,Crax blumenbachii,ANIMALIA,CHORDATA,AVES,GALLIFORMES,CRACIDAE,Crax,blumenbachii,,,,,"Spix, 1825",
22678615,Megapodius layardi,ANIMALIA,CHORDATA,AVES,GALLIFORMES,MEGAPODIIDAE,Megapodius,layardi,,,,,"Tristram, 1879",
22678646,Leipoa ocellata,ANIMALIA,CHORDATA,AVES,GALLIFORMES,MEGAPODIIDAE,Leipoa,ocellata,,,,,"Gould, 1840",
22678698,Alectoris philbyi,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Alectoris,philbyi,,,,,"Lowe, 1934",
22678733,Francolinus gularis,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Francolinus,gularis,,,,,"(Temminck, 1815)",
22678756,Scleroptila streptophora,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Scleroptila,streptophora,,,,,"(Ogilvie-Grant, 1891)",<em>Scleroptila streptophora</em>&#160;(del Hoyo and Collar 2014)&#160;was previously placed in the genus <em>Francolinus </em>as&#160;<em>F. streptophorus</em>.
22678764,Scleroptila afra,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Scleroptila,afra,,,,,"(Latham, 1790)",<em>Scleroptila afra</em>&#160;(del Hoyo and Collar 2014)&#160;was previously placed in the genus <em>Francolinus </em>as <em>F. africanus</em><em></em>.
22678799,Pternistis hartlaubi,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Pternistis,hartlaubi,,,,,"(Bocage, 1869)",<em>Pternistis hartlaubi</em>&#160;(del Hoyo and Collar 2014)&#160;was previously placed in the genus <em>Francolinus</em>.
22678843,Pternistis griseostriatus,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Pternistis,griseostriatus,,,,,"(Ogilvie-Grant, 1890)",<em>Pternistis griseostriatus</em>&#160;(del Hoyo and Collar 2014)&#160;was previously placed in the genus <em>Francolinus</em>.
22678891,Pternistis camerunensis,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Pternistis,camerunensis,,,,,"(Alexander, 1909)",<em>Pternistis camerunensis</em>&#160;(del Hoyo and Collar 2014)&#160;was previously placed in the genus <em>Francolinus</em>.
22678896,Pternistis swierstrai,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Pternistis,swierstrai,,,,,"(Roberts, 1929)",<em>Pternistis swierstrai</em>&#160;(del Hoyo and Collar 2014)&#160;was previously placed in the genus <em>Francolinus</em>.
22678901,Xenoperdix udzungwensis,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Xenoperdix,udzungwensis,,,,,"Dinesen, Lehmberg, Svendsen &amp; Fjeldså, 1994",
22678955,Coturnix novaezelandiae,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Coturnix,novaezelandiae,,,,,"Quoy & Gaimard, 1830",
22678993,Anurophasis monorthonyx,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Anurophasis,monorthonyx,,,,,"van Oort, 1910",
22679023,Arborophila atrogularis,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Arborophila,atrogularis,,,,,"(Blyth, 1850)",
22679026,Arborophila crudigularis,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Arborophila,crudigularis,,,,,"(Swinhoe, 1864)",
22679029,Arborophila mandellii,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Arborophila,mandellii,,,,,"Hume, 1874",
22679035,Arborophila rufipectus,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Arborophila,rufipectus,,,,,"Boulton, 1932",
22679050,Arborophila gingica,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Arborophila,gingica,,,,,"(Gmelin, 1789)",
22679057,Arborophila cambodiana,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Arborophila,cambodiana,,,,,"Delacour & Jabouille, 1928",
22679063,Arborophila ardens,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Arborophila,ardens,,,,,"(Styan, 1892)",
22679094,Caloperdix oculeus,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Caloperdix,oculeus,,,,,"(Temminck, 1815)",
22679157,Tragopan satyra,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Tragopan,satyra,,,,,"(Linnaeus, 1758)",
22679185,Lophophorus sclateri,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Lophophorus,sclateri,,,,,"Jerdon, 1870",
22679192,Lophophorus lhuysii,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Lophophorus,lhuysii,,,,,"Geoffroy Saint-Hilaire, 1866",
22679199,Gallus gallus,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Gallus,gallus,,,,,"(Linnaeus, 1758)",
22679220,Lophura nycthemera,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Lophura,nycthemera,,,,,"(Linnaeus, 1758)",
22679274,Lophura diardi,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Lophura,diardi,,,,,"(Bonaparte, 1856)",
22679278,Lophura bulweri,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Lophura,bulweri,,,,,"(Sharpe, 1874)",
22679292,Crossoptilon crossoptilon,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Crossoptilon,crossoptilon,,,,,"(Hodgson, 1838)",
22679299,Crossoptilon mantchuricum,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Crossoptilon,mantchuricum,,,,,"Swinhoe, 1863",
22679325,Syrmaticus ellioti,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Syrmaticus,ellioti,,,,,"(Swinhoe, 1872)",
22679330,Syrmaticus humiae,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Syrmaticus,humiae,,,,,"(Hume, 1881)",
22679336,Syrmaticus mikado,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Syrmaticus,mikado,,,,,"(Ogilvie-Grant, 1906)",
22679340,Syrmaticus soemmerringii,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Syrmaticus,soemmerringii,,,,,"(Temminck, 1830)",
22679365,Polyplectron inopinatum,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Polyplectron,inopinatum,,,,,"(Rothschild,1903)",
22679372,Polyplectron germaini,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Polyplectron,germaini,,,,,"Elliot, 1866",
22679385,Polyplectron malacense,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Polyplectron,malacense,,,,,"(Scopoli, 1786)",
22679430,Afropavo congensis,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Afropavo,congensis,,,,,"Chapin, 1936",
22679483,Lyrurus mlokosiewiczi,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Lyrurus,mlokosiewiczi,,,,,"(Taczanowski, 1875)",<em>Lyrurus mlokosiewiczi</em>&#160;(del Hoyo and Collar 2014)&#160;was previously placed in the genus <em>Tetrao</em>.
22679491,Tetrao urogalloides,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Tetrao,urogalloides,,,,,"Middendorff, 1851",<em>Tetrao urogalloides</em> (del Hoyo and Collar 2014) was previously listed as <em>T. parvirostris</em>; the name <em>urogalloides </em>has priority.
22679503,Centrocercus urophasianus,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Centrocercus,urophasianus,,,,,"(Bonaparte, 1827)",
22679650,Odontophorus atrifrons,ANIMALIA,CHORDATA,AVES,GALLIFORMES,ODONTOPHORIDAE,Odontophorus,atrifrons,,,,,"Allen, 1900",
22679663,Odontophorus melanonotus,ANIMALIA,CHORDATA,AVES,GALLIFORMES,ODONTOPHORIDAE,Odontophorus,melanonotus,,,,,"Gould, 1860",
22679668,Odontophorus speciosus,ANIMALIA,CHORDATA,AVES,GALLIFORMES,ODONTOPHORIDAE,Odontophorus,speciosus,,,,,"Tschudi, 1843",
22679683,Odontophorus columbianus,ANIMALIA,CHORDATA,AVES,GALLIFORMES,ODONTOPHORIDAE,Odontophorus,columbianus,,,,,"(Gould, 1850)",
22679726,Chauna chavaria,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANHIMIDAE,Chauna,chavaria,,,,,"(Linnaeus, 1766)",
22679732,Anseranas semipalmata,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANSERANATIDAE,Anseranas,semipalmata,,,,,"(Latham, 1798)",
22679746,Dendrocygna bicolor,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Dendrocygna,bicolor,,,,,"(Vieillot, 1816)",
22679827,Oxyura australis,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Oxyura,australis,,,,,"Gould, 1836",
22679830,Biziura lobata,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Biziura,lobata,,,,,"(Shaw, 1796)",
22679869,Anser cygnoid,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anser,cygnoid,,,,,"(Linnaeus, 1758)",<em>A. cygnoid</em>&#160;(del Hoyo and Collar 2014) was previously listed as&#160;<em>A. cygnoides</em>.
22679919,Anser canagicus,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anser,canagicus,,,,,"(Sevastianov, 1802)",<em>Anser canagicus</em>&#160;(del Hoyo and Collar 2014)&#160;was previously placed in the genus <em>Chen</em>.
22679961,Cyanochen cyanoptera,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Cyanochen,cyanoptera,,,,,"(Rüppell, 1845)",
22679984,Chloephaga rubidiceps,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Chloephaga,rubidiceps,,,,,"P. L. Sclater, 1861",
22679987,Neochen jubata,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Neochen,jubata,,,,,"(Spix, 1825)",
22680007,Tadorna cana,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Tadorna,cana,,,,,"(Gmelin, 1789)",
22680029,Radjah radjah,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Radjah,radjah,,,,,"(Lesson, 1828)",<em>Radjah radjah</em>&#160;(del Hoyo and Collar 2014)&#160;was previously placed in the genus <em>Tadorna</em>.
22680070,Pteronetta hartlaubii,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Pteronetta,hartlaubii,,,,,"(Cassin, 1859)",
22680121,Hymenolaimus malacorhynchos,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Hymenolaimus,malacorhynchos,,,,,"(Gmelin, 1789)",
22680145,Anas capensis,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas,capensis,,,,,"Gmelin, 1789",
22680153,Mareca falcata,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Mareca,falcata,,,,,"(Georgi, 1775)",<em>Mareca falcata</em>&#160;(del Hoyo and Collar 2014)&#160;was previously placed in the genus <em>Anas</em>.
22680170,Anas sparsa,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas,sparsa,,,,,"Eyton, 1838",
22680214,Anas luzonica,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas,luzonica,,,,,"Fraser, 1839",
22680221,Anas undulata,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas,undulata,,,,,"Dubois, 1839",
22680236,Spatula smithii,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Spatula,smithii,,,,,"Hartert, 1891",<em>Spatula smithii</em>&#160;(del Hoyo and Collar 2014)&#160;was previously placed in the genus <em>Anas</em>.
22680252,Anas bernieri,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas,bernieri,,,,,"(Hartlaub, 1860)",
22680290,Anas erythrorhyncha,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas,erythrorhyncha,,,,,"Gmelin, 1789",
22680306,Anas eatoni,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas,eatoni,,,,,"(Sharpe, 1875)",
22680317,Sibirionetta formosa,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Sibirionetta,formosa,,,,,"(Georgi, 1775)",<em>Sibirionetta formosa</em>&#160;(del Hoyo and Collar 2014)&#160;was previously placed in the genus <em>Anas</em>.
22680332,Spatula hottentota,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Spatula,hottentota,,,,,"(Eyton, 1838)","Normally placed in <em>Anas</em>. Closest to <em>S. puna</em> and <em>S. versicolor </em>(Johnson &amp; Sorenson 1999), and all three sometimes placed together in genus <em>Punanetta</em>. Earlier name <em>Anas punctata</em> suppressed owing to confusion over type specimens (ICZN 1977). Monotypic."
22680354,Netta erythrophthalma,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Netta,erythrophthalma,,,,,"(Wied, 1832)",
22680418,Camptorhynchus labradorius,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Camptorhynchus,labradorius,,,,,"(Gmelin, 1789)",
22680496,Mergus australis,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Mergus,australis,,,,,"Hombron & Jacquinot, 1841",
22680556,Turnix melanogaster,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,TURNICIDAE,Turnix,melanogaster,,,,,"(Gould, 1837)",
22680560,Turnix castanotus,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,TURNICIDAE,Turnix,castanotus,,,,,"(Gould, 1840)",
22680572,Turnix olivii,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,TURNICIDAE,Turnix,olivii,,,,,"Robinson, 1900",
22680588,Turnix worcesteri,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,TURNICIDAE,Turnix,worcesteri,,,,,"McGregor, 1904",
22680652,Indicator xanthonotus,ANIMALIA,CHORDATA,AVES,PICIFORMES,INDICATORIDAE,Indicator,xanthonotus,,,,,"Blyth, 1842",
22680714,Picumnus fuscus,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Picumnus,fuscus,,,,,"Pelzeln, 1870",
22680723,Picumnus spilogaster,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Picumnus,spilogaster,,,,,"Sundevall, 1866",
22680733,Picumnus steindachneri,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Picumnus,steindachneri,,,,,"Taczanowski, 1882",
22680736,Picumnus varzeae,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Picumnus,varzeae,,,,,"Snethlage, 1912",
22680759,Picumnus fulvescens,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Picumnus,fulvescens,,,,,"Stager, 1962",
22680765,Picumnus nebulosus,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Picumnus,nebulosus,,,,,"Sundevall, 1866",
22680978,Dendropicos stierlingi,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Dendropicos,stierlingi,,,,,"Reichenow, 1901",
22681215,Veniliornis chocoensis,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Veniliornis,chocoensis,,,,,"Todd, 1919",
22681373,Hylatomus schulzii,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Hylatomus,schulzii,,,,,"(Cabanis, 1883)",<em>Hylatomus   schulzii</em> (del Hoyo and Collar 2014) was previously placed in the genus   <em>Dryocopus</em>.
22681408,Campephilus gayaquilensis,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Campephilus,gayaquilensis,,,,,"(Lesson, 1845)",
22681414,Campephilus magellanicus,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Campephilus,magellanicus,,,,,"(King, 1828)",
