"","date","hits","keyword","geo","time","gprop","category"
"1",2004-01-01,0,"Hormiguero Negro","world","all","web",0
"2",2004-02-01,0,"Hormiguero Negro","world","all","web",0
"3",2004-03-01,39,"Hormiguero Negro","world","all","web",0
"4",2004-04-01,0,"Hormiguero Negro","world","all","web",0
"5",2004-05-01,0,"Hormiguero Negro","world","all","web",0
"6",2004-06-01,0,"Hormiguero Negro","world","all","web",0
"7",2004-07-01,0,"Hormiguero Negro","world","all","web",0
"8",2004-08-01,0,"Hormiguero Negro","world","all","web",0
"9",2004-09-01,0,"Hormiguero Negro","world","all","web",0
"10",2004-10-01,0,"Hormiguero Negro","world","all","web",0
"11",2004-11-01,0,"Hormiguero Negro","world","all","web",0
"12",2004-12-01,0,"Hormiguero Negro","world","all","web",0
"13",2005-01-01,0,"Hormiguero Negro","world","all","web",0
"14",2005-02-01,0,"Hormiguero Negro","world","all","web",0
"15",2005-03-01,0,"Hormiguero Negro","world","all","web",0
"16",2005-04-01,0,"Hormiguero Negro","world","all","web",0
"17",2005-05-01,0,"Hormiguero Negro","world","all","web",0
"18",2005-06-01,0,"Hormiguero Negro","world","all","web",0
"19",2005-07-01,18,"Hormiguero Negro","world","all","web",0
"20",2005-08-01,0,"Hormiguero Negro","world","all","web",0
"21",2005-09-01,0,"Hormiguero Negro","world","all","web",0
"22",2005-10-01,0,"Hormiguero Negro","world","all","web",0
"23",2005-11-01,0,"Hormiguero Negro","world","all","web",0
"24",2005-12-01,0,"Hormiguero Negro","world","all","web",0
"25",2006-01-01,0,"Hormiguero Negro","world","all","web",0
"26",2006-02-01,0,"Hormiguero Negro","world","all","web",0
"27",2006-03-01,0,"Hormiguero Negro","world","all","web",0
"28",2006-04-01,0,"Hormiguero Negro","world","all","web",0
"29",2006-05-01,0,"Hormiguero Negro","world","all","web",0
"30",2006-06-01,0,"Hormiguero Negro","world","all","web",0
"31",2006-07-01,0,"Hormiguero Negro","world","all","web",0
"32",2006-08-01,0,"Hormiguero Negro","world","all","web",0
